,comment_IDs,user_IDs,shop_IDs,comment_lenghs,VIPcomment_ornot,if_pictures,comment_pictures,comment_taste_scores,comment_surround_scores,comment_serv_scores,comment_words,heart_nums,reply_nums,busi_reply_words,busi_reply_lenghs,,,,,刘心如,李志勋,栗渊钧,丁妮,是否满意,,周星彤,徐睿双,张柃娜,刘睿益,苏子眙
521211,323206695,1043101643,24981944,46,0,0,0,0,0,0,一次不如一次第一次吃感觉还凑合第二次去三杯鸡居然都做糊了做糊了你们还敢端上来给顾客吃,0,0,亲您好我是本餐厅的店长朱香颖谢谢您选择我并分享您的品尝感受这次没让您吃好感到非常对不起我们会对产品出品口味进行测试确保按标准出餐为每一位顾客提供优质的菜品是我们一直秉承的原则我的联系方式是希望与您取得联系您的再次光临将是我们不断进步的动力祝工作顺利哦谢谢,152,,,,,,,,,0,,,,,,
56298,132403409,63460592,16793832,18,0,0,0,0,0,0,服务员爱答不理的就跟欠她多少钱似的,0,0,非常抱歉给您带来了不愉快的就餐体验我们会马上整改希望您再来肯定让您满意,39,,,,,,,,,0,,,,,,
626649,295112265,51094119,32403017,43,0,0,0,0,0,0,一星都不想给螺蛳粉太咸了五道口的一点都不咸这家店太咸了感觉把整袋盐都进去了,0,2,很抱歉这次没有给您一个满意的服务我们会针对您提出的意见进行修改感谢您提出的意见希望下次再来,50,,,,,,,,,0,,,,,,
963171,280062371,14893625,57622913,29,0,0,0,1,1,2,吃不习惯感觉每道菜里都放了当地的香料有股怪味道不好吃,0,0,非常感谢亲爱的对本店的宝贵评价给你带来了不好的用餐体验非常抱歉可能是咱俩菜不合你的口味你可以品尝一下咱家其它的菜品期待你的下次光临,70,,,,,,,,,0,,,,,,
776434,339272324,35849101,45822028,94,0,0,0,1,1,0,烤的师傅感觉故意拖延慢条斯理一开始给烤两盘然后就过半小时再给你烤有一等了谁吃完两盘过半小时后还能吃下这是他们的策略吗如果是不如限量点快点上菜毕竟耽误时间就是耽误生命,0,0,尊敬的客人您好感谢您选择我们分店并对我们餐厅做出评价我们万分荣幸能为您服务正是如您一样的客人对我们的不断关心和督促才能使我们不断发现工作中的问题获得改正和不断进步从您这次的用餐的评论中我们深表遗憾餐厅的服务并没有达到您的期望对于您在就餐中所遇到的问题我们致以最诚挚的歉意此外我们一定检讨自己做的不足的地方并积极改正希望我们真诚的服务能够带给您更惬意的体验餐厅全体员工衷心期待您的再次光临,217,,,,,,,,,1,,,,,,
125212,259778719,1690344,18366842,91,0,0,0,0,2,1,泰式炸墨鱼圈吃起来像明胶混了魔芋之类的东西完全不是墨鱼圈的口感蛤蛤蛋蒸出来的很硬一点都不软鲜花饼不错因为小吊梨汤等位人太多才来这儿的下次还是踏实等小吊梨汤或者隔壁云海肴吧,0,0,您好感谢您选择小边家用餐很抱歉给您带来不佳的用餐及体验小边家以东南亚风味美食为主近期正在不断推出新菜我们已和后厨沟通严格把控好每一道出品的质与量真的对不起真诚的给您道歉希望下次您来有机会给您推荐咱们家几大招牌菜边境烤猪蹄星岛咖哩鱼片冬荫功汤泰式黄金虾球,142,,,,,,,,,1,,,,,,
121213,222061432,27383746,18340543,36,0,0,0,0,0,0,就是骗不了解的人去吃的小龙虾真小又咸服务员也都差的很又贵又难吃,0,1,您好仔仔在簋街上九家连锁店我们本着菜好客回头味正人自留的作风所以不存在欺客的如有什么不满意的可咨询店家喔祝您新的一年开心快乐,68,,,,,,,,,0,,,,,,
778842,194241598,5142965,4666170,17,0,0,0,0,0,0,卖熊掌你妈妈知道你这样吗丢人,1,0,您好可能您有些误会了我们这并不是真的熊掌,23,,,,,,,,,1,,,,,,
22466,164721907,25697190,14715719,14,0,0,0,2,2,0,越来越差不想再去了,0,0,您好你是觉得我们那方面做的不好啊是服务产品还是卫生啊您给我们一个方向我们会努力成长的希望你可以给我们一个成长的机会,63,,,,,,,,,1,,,,,,
363357,166190189,17050160,22245135,110,0,0,0,1,2,2,两个人点一小份粥都没喝完主要点了挺多别的吃的粤菜竟然没有肠粉卖呢本来冲着肠粉才去的一看菜单竟然没有点了蒸排骨凤爪等一系列小吃所以最后粥喝不完了菜品味道很一般如果去广州吃过粤菜的话属于去一次不会再想去的,0,0,我们也在进一步尝试着做出新菜希望你下次来的的时候可以品尝一下,33,,,,,,,,,0,,,,,,
