,topic_match,senti,length,sat
0,0,1.0,152,0
1,1,1.0,39,0
2,0,1.0,50,0
3,1,1.0,70,0
4,1,1.0,217,1
5,0,1.0,142,1
6,0,1.0,68,0
7,1,1.0,23,1
8,1,1.0,63,1
9,0,1.0,33,0
10,1,1.0,14,0
11,0,1.0,65,0
12,1,1.0,54,0
13,1,1.0,279,1
14,0,1.0,128,1
15,1,1.0,14,0
16,1,1.0,229,1
17,1,1.0,76,1
18,0,1.0,169,1
19,0,1.0,44,0
20,0,1.0,103,0
21,1,1.0,95,1
22,0,1.0,40,0
23,1,1.0,186,1
24,1,1.0,229,0
25,0,1.0,37,0
26,1,1.0,34,0
27,1,1.0,62,0
28,0,1.0,129,0
29,0,1.0,28,0
30,0,1.0,134,1
31,0,1.0,105,1
32,0,1.0,58,0
33,1,1.0,101,0
34,0,1.0,159,1
35,0,1.0,66,1
36,0,1.0,122,1
37,0,1.0,217,0
38,1,1.0,17,0
39,0,1.0,143,1
40,0,1.0,118,1
41,1,1.0,88,0
42,0,1.0,99,1
43,0,1.0,45,0
44,0,1.0,78,0
45,0,1.0,58,1
46,1,1.0,119,0
47,0,1.0,113,0
48,0,1.0,27,0
49,1,1.0,26,0
50,1,1.0,57,0
51,1,1.0,90,1
52,1,1.0,61,1
53,0,1.0,108,0
54,1,1.0,41,0
55,0,1.0,87,0
56,0,1.0,274,1
57,0,1.0,67,0
58,1,1.0,82,0
59,1,1.0,206,0
60,1,1.0,101,0
61,1,1.0,85,1
62,0,1.0,128,0
63,0,1.0,98,1
64,1,1.0,82,1
65,1,1.0,116,1
66,1,1.0,25,0
67,1,1.0,92,0
68,1,1.0,22,0
69,0,1.0,103,0
70,0,1.0,199,1
71,1,1.0,58,0
72,0,1.0,79,0
73,1,1.0,170,1
74,0,1.0,39,0
75,1,1.0,23,0
76,1,1.0,91,0
77,0,1.0,44,1
78,0,1.0,98,0
79,1,1.0,132,1
80,1,1.0,19,0
81,0,1.0,117,0
82,1,1.0,34,0
83,1,1.0,88,1
84,1,1.0,63,0
85,0,1.0,96,0
86,1,1.0,11,0
87,1,1.0,38,0
88,0,1.0,38,0
89,1,1.0,84,1
90,1,1.0,59,0
91,1,1.0,115,0
92,1,1.0,61,1
93,0,1.0,185,#NAME?
